ModelReleaseYear,Make,ModelReleaseVersion,Model,Variant,EngineDisplacement,EngineConfiguration,EngineInduction,FwdGearsNo,TransmissionTypeDescription,SideDoorNo,SeatingCapacity,BodyStyle,DrivingWheelsNo,FuelType,CO2EmissionsCombined,CO2EmissionsUrban,CO2EmissionsExtraUrban,FuelConsumptionCombined,FuelConsumptionUrban,FuelConsumptionExtraUrban,EnergyConsumptionWhkm,ElectricRangeKm,AirPollutionStandard,StationaryNoiseData,TestSpeed,IsCurrentModel,ModelEndYear,FuelLifeCycleCO2,AnnualTailpipeCO2,Test Cycle,AnnualFuelCost
2022,Audi,,A3 Sportback,35 TFSI S-tronic 17 Inch Wheel,1.5,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,111,136,95,4.8,5.9,4.2,,,Euro 6,73,3750,Yes,0,139,1.55,,1210
2015,Skoda,,Fabia,81TSI,1.2,4cyl,Turbo,7,Auto,4,5,Wagon,2,Petrol 95RON,111,137,97,4.8,5.9,4.2,,,Euro 6,75,3750,No,2019,139,1.55,,1210
2015,Skoda,,Fabia,81TSI,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,111,137,97,4.8,5.9,4.2,,,Euro 6,75,3750,No,2019,139,1.55,,1210
2015,Skoda,,Fabia,Ambition 81TSI,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,111,137,97,4.8,5.9,4.2,,,Euro 6,75,3750,No,2015,139,1.55,,1210
2015,Skoda,,Fabia,Ambition 81TSI,1.2,4cyl,Turbo,7,Auto,4,5,Wagon,2,Petrol 95RON,111,137,97,4.8,5.9,4.2,,,Euro 6,75,3750,No,2015,139,1.55,,1210
2016,Fiat,Series 4,500,1.2 8V Dualogic,1.2,4cyl,Normal,5,Auto,2,4,Sedan,2,Petrol 95RON,111,138,95,4.8,6,4.1,,,Euro 6,86,4125,Yes,0,139,1.55,,1210
2016,Fiat,Series 4,500C,1.2 8V Dualogic,1.2,4cyl,Normal,5,Auto,2,4,Convertible,2,Petrol 95RON,111,138,95,4.8,6,4.1,,,Euro 6,86,4125,Yes,0,139,1.55,,1210
2022,Audi,,A3 Sedan,35 TFSI S-tronic 18 Inch Wheel,1.5,4cyl,Turbo,7,Auto,4,5,Sedan,2,Petrol 95RON,111,138,96,4.9,6,4.2,,,Euro 6,73,3750,Yes,0,142,1.55,,1235
2020,Skoda,MY21,Scala,110TSI,1.5,4cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,111,142,92,4.9,6.2,4,,,Euro 6,76,3750,No,2023,142,1.55,,1235
2020,Skoda,MY20,Scala,110TSI,1.5,4cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,111,142,92,4.9,6.2,4,,,Euro 6,76,3750,No,2020,142,1.55,,1235
2008,Smart,,fortwo,Coupe 52kW,1,3cyl,Normal,5,Auto,2,2,Coupe,2,Petrol 95RON,112,,,4.7,,,,,Euro 4,83,3325,No,2008,136,1.57,,1184
2016,Audi,,A3 Sportback,1.0 TFSI S-Tronic 17 Inch Wheel,1,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,132,99,4.9,5.8,4.4,,,Euro 6,71,3750,Yes,0,142,1.57,,1235
2018,Volkswagen,MY18,Polo,85TSI Comfortline,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,133,100,4.9,5.8,4.4,,,Euro 6,72,3750,No,2019,142,1.57,,1235
2018,Volkswagen,MY18,Polo,beats,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,133,100,4.9,5.8,4.4,,,Euro 6,72,3750,No,2019,142,1.57,,1235
2018,Volkswagen,MY18,Polo,Launch Edition,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,133,100,4.9,5.8,4.4,,,Euro 6,72,3750,No,2019,142,1.57,,1235
2018,Volkswagen,MY19,Polo,85TSI Comfortline,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,133,100,4.9,5.8,4.4,,,Euro 6,72,3750,No,2019,142,1.57,,1235
2022,Audi,,A3 Sedan,35 TFSI S-tronic 19 Inch Wheel,1.5,4cyl,Turbo,7,Auto,4,5,Sedan,2,Petrol 95RON,112,138,97,4.9,6,4.3,,,Euro 6,73,3750,Yes,0,142,1.57,,1235
2015,Volkswagen,,Polo,66TSI Trendline,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,138,98,4.8,5.9,4.2,,,Euro 6,76,3750,No,2015,139,1.57,,1210
2015,Volkswagen,,Polo,81TSI Comfortline,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,138,98,4.8,5.9,4.2,,,Euro 6,76,3750,No,2015,139,1.57,,1210
2015,Volkswagen,,Polo,66TSI Trendline,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,138,98,4.8,5.9,4.2,,,Euro 6,76,3750,No,2017,139,1.57,,1210
2015,Volkswagen,,Polo,81TSI Comfortline,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,138,98,4.8,5.9,4.2,,,Euro 6,76,3750,No,2017,139,1.57,,1210
2017,Volkswagen,MY17,Polo,Urban,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,138,98,4.8,5.9,4.2,,,Euro 5,76,3750,No,2018,139,1.57,,1210
2017,Volkswagen,MY17,Polo,Urban+,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,138,98,4.8,5.9,4.2,,,Euro 5,76,3750,No,2018,139,1.57,,1210
2016,Volkswagen,MY17,Polo,66TSI Trendline,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,138,98,4.8,5.9,4.2,,,Euro 5,76,3750,No,2017,139,1.57,,1210
2016,Volkswagen,MY17,Polo,81TSI Comfortline,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,138,98,4.8,5.9,4.2,,,Euro 5,76,3750,No,2017,139,1.57,,1210
2016,Volkswagen,MY17,Polo,beats,1.2,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,112,138,98,4.8,5.9,4.2,,,Euro 5,76,3750,No,2017,139,1.57,,1210
2022,Skoda,MY22,Kamiq,Ambition,1.5,4cyl,Turbo,6,Manual,4,5,SUV,2,Petrol 95RON,112,147,91,4.9,6.4,4,,,Euro 6,76,3750,No,2023,142,1.57,,1235
2003,Smart,,fortwo,Cabrio,0.7,3cyl,Turbo,6,Auto,2,2,Convertible,2,Petrol 95RON,113,,,4.8,,,,,Euro 3,,,No,2008,139,1.58,,1210
2003,Smart,,fortwo,City Coupe,0.7,3cyl,Turbo,6,Auto,2,2,Coupe,2,Petrol 95RON,113,,,4.8,,,,,Euro 3,,,No,2008,139,1.58,,1210
2003,Smart,,fortwo,City Coupe,0.7,3cyl,Turbo,6,Auto,2,2,Coupe,2,Petrol 95RON,113,,,4.8,,,,,Euro 3,,,No,2009,139,1.58,,1210
2003,Smart,,fortwo,Cabrio,0.7,3cyl,Turbo,6,Auto,2,2,Convertible,2,Petrol 95RON,113,,,4.8,,,,,Euro 3,,,No,2009,139,1.58,,1210
2013,Lexus,,IS300h,,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Petrol 95RON,113,117,117,4.9,5,5,,,Euro 4,68,2500,No,2015,142,1.58,,1235
2013,Lexus,,IS300h,Hybrid,2.5,4cyl,Normal,1,CVT,4,5,Sedan,2,Petrol 95RON,113,117,117,4.9,5,5,,,Euro 4,68,2500,No,2015,142,1.58,,1235
2022,Skoda,MY22,Kamiq,85TSI,1,3cyl,Turbo,7,Auto,4,5,SUV,2,Petrol 95RON,113,132,102,5,5.8,4.5,,,Euro 6,72,3750,No,2023,145,1.58,,1260
2020,Skoda,MY21,Kamiq,85TSI,1,3cyl,Turbo,7,Auto,4,5,SUV,2,Petrol 95RON,113,132,102,5,5.8,4.5,,,Euro 6,72,3750,No,2022,145,1.58,,1260
2020,Skoda,MY20,Kamiq,85TSI,1,3cyl,Turbo,7,Auto,4,5,SUV,2,Petrol 95RON,113,132,102,5,5.8,4.5,,,Euro 6,72,3750,No,2020,145,1.58,,1260
2016,Renault,2016,Captur,,0.9,3cyl,Turbo,5,Manual,4,5,Hatch,2,Petrol 95RON,113,134,101,5.1,6,4.5,,,Euro 6,80,3750,No,2017,148,1.58,,1285
2020,Volkswagen,MY21,Polo,70TSI Trendline,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,113,137,99,5,6,4.4,,,Euro 6,74,3750,No,2022,145,1.58,,1260
2019,Volkswagen,MY20,Polo,70TSI Trendline,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,113,137,99,5,6,4.4,,,Euro 6,74,3750,No,2020,145,1.58,,1260
2014,Renault,,Captur,,0.9,3cyl,Turbo,5,Manual,4,5,Hatch,2,Petrol 95RON,113,137,100,4.9,5.9,4.3,,,Euro 5,80,3750,No,2016,142,1.58,,1235
2014,MINI,F56,One,Hardtop,1.2,3cyl,Turbo,6,Manual,2,4,Hatch,2,Petrol 95RON,113,139,98,4.9,6,4.2,,,Euro 6,79,3000,No,2025,142,1.58,,1235
2009,Suzuki,,Alto,GLX,1,3cyl,Normal,5,Manual,4,4,Hatch,2,Petrol 95RON,113,139,104,4.8,5.7,4.3,,,Euro 4,82,4500,No,2010,139,1.58,,1210
2009,Suzuki,,Alto,GL,1,3cyl,Normal,5,Manual,4,4,Hatch,2,Petrol 95RON,113,139,104,4.8,5.7,4.3,,,Euro 4,82,4500,No,2010,139,1.58,,1210
2015,Citroen,,C4,Seduction 96kW Petrol Auto,1.2,3cyl,Normal,6,Auto,4,5,Sedan,2,Petrol 95RON,113,142,96,4.9,6.1,4.2,,,Euro 6,76,3750,No,2019,142,1.58,,1235
2015,Citroen,,C4,Seduction 96kW Petrol Auto,1.2,4cyl,Normal,4,Auto,4,5,Sedan,2,Petrol 95RON,113,142,96,4.9,6.1,4.2,,,Euro 6,76,3750,No,2015,142,1.58,,1235
2023,Skoda,MY23,Fabia,Monte Carlo Edition 150,1.5,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,113,144,95,4.9,6.3,4.1,,,Euro 6,73,3750,Yes,0,142,1.58,,1235
2022,Skoda,MY22,Fabia,Monte Carlo Edition 150,1.5,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,113,144,95,4.9,6.3,4.1,,,Euro 6,73,3750,No,2023,142,1.58,,1235
2015,Volkswagen,,Polo,81TSI Comfortline,1.2,4cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,113,144,95,4.9,6.2,4.1,,,Euro 6,74,3750,No,2015,142,1.58,,1235
2015,Volkswagen,,Polo,81TSI Comfortline,1.2,4cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,113,144,95,4.9,6.2,4.1,,,Euro 6,74,3750,No,2017,142,1.58,,1235
2017,Volkswagen,MY17,Polo,Urban+,1.2,4cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,113,144,95,4.9,6.2,4.1,,,Euro 5,74,3750,No,2018,142,1.58,,1235
2016,Volkswagen,MY17,Polo,81TSI Comfortline,1.2,4cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,113,144,95,4.9,6.2,4.1,,,Euro 5,74,3750,No,2017,142,1.58,,1235
2016,Volkswagen,MY17,Polo,beats,1.2,4cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,113,144,95,4.9,6.2,4.1,,,Euro 5,74,3750,No,2017,142,1.58,,1235
2025,Skoda,MY25,Fabia,Select,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,114,134,102,5,5.9,4.5,,,Euro 6,70,3750,Yes,0,145,1.6,,1260
2024,Skoda,MY24,Fabia,Select,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,114,134,102,5,5.9,4.5,,,Euro 6,70,3750,No,2026,145,1.6,,1260
2024,Skoda,MY24,Fabia,Select,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,114,134,102,5,5.9,4.5,,,Euro 6,70,3750,No,2025,145,1.6,,1260
2022,Audi,,A3 Sportback,35 TFSI S-tronic 18 Inch Wheel,1.5,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,114,138,99,5,6.1,4.3,,,Euro 6,73,3750,Yes,0,145,1.6,,1260
2013,Peugeot,,2008,1.2 VTi,1.2,3cyl,Normal,5,Manual,4,5,Wagon,2,Petrol 95RON,114,139,99,4.9,6,4.3,,,Euro 5,75,3750,No,2017,142,1.6,,1235
2022,Audi,,A3 Sportback,35 TFSI S-tronic 19 Inch Wheel,1.5,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,114,139,100,5,6.1,4.4,,,Euro 6,73,3750,Yes,0,145,1.6,,1260
2014,MINI,F55,Cooper,Station Wagon,1.5,3cyl,Turbo,6,Manual,4,5,Wagon,2,Petrol 95RON,114,141,98,4.9,6.1,4.2,,,Euro 6,83,3300,No,2025,142,1.6,,1235
2013,Volkswagen,,up!,3 Door,1,3cyl,Normal,5,Manual,2,4,Hatch,2,Petrol 95RON,114,141,98,4.9,6.1,4.2,,,Euro 5,77,3750,No,2013,142,1.6,,1235
2013,Volkswagen,,up!,5 Door,1,3cyl,Normal,5,Manual,4,4,Hatch,2,Petrol 95RON,114,141,98,4.9,6.1,4.2,,,Euro 5,77,3750,No,2013,142,1.6,,1235
2014,Audi,92kW,A3 Sportback,1.4 TFSI Attraction S-Tronic,1.4,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,114,141,99,4.9,6.1,4.3,,,Euro 6,73,3750,No,2016,142,1.6,,1235
2015,Skoda,,Rapid,81TSI,1.2,4cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,114,145,97,5,6.3,4.3,,,Euro 6,72,3750,No,2020,145,1.6,,1260
2015,Skoda,,Rapid,Monte Carlo 81TSI,1.2,4cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,114,145,97,5,6.3,4.3,,,Euro 6,72,3750,No,2020,145,1.6,,1260
2016,Alfa Romeo,,Giulietta,1.4TB 125kW,1.4,4cyl,Turbo,6,Auto,4,5,Sedan,2,Petrol 95RON,114,146,95,4.9,6.3,4.1,,,Euro 6,78,4125,No,2022,142,1.6,,1235
2016,Audi,,A3 Sportback,1.0 TFSI S-Tronic 18 Inch Wheel,1,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,115,135,103,5,5.9,4.5,,,Euro 6,71,3750,Yes,0,145,1.61,,1260
2022,Volkswagen,MY22,Polo,85TSI Style,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,115,136,103,5,5.9,4.5,,,Euro 6,72,3750,No,2022,145,1.61,,1260
2022,Volkswagen,MY22,Polo,85TSI Life,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,115,136,103,5,5.9,4.5,,,Euro 6,72,3750,No,2022,145,1.61,,1260
2022,Volkswagen,MY23,Polo,85TSI Life,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,115,136,103,5,5.9,4.5,,,Euro 6,72,3750,No,2023,145,1.61,,1260
2022,Volkswagen,MY23,Polo,85TSI Style,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,115,136,103,5,5.9,4.5,,,Euro 6,72,3750,No,2023,145,1.61,,1260
2020,Volkswagen,MY21,Polo,85TSI Comfortline,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,115,136,103,5,5.9,4.5,,,Euro 6,72,3750,No,2022,145,1.61,,1260
2020,Volkswagen,MY21,Polo,85TSI Style,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,115,136,103,5,5.9,4.5,,,Euro 6,72,3750,No,2022,145,1.61,,1260
2019,Volkswagen,MY20,Polo,85TSI Comfortline,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,115,136,103,5,5.9,4.5,,,Euro 6,72,3750,No,2020,145,1.61,,1260
2019,Volkswagen,MY20,Polo,85TSI Style,1,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,115,136,103,5,5.9,4.5,,,Euro 6,72,3750,No,2020,145,1.61,,1260
2014,MINI,F56,Cooper,Hardtop,1.5,3cyl,Turbo,6,Auto,2,4,Hatch,2,Petrol 95RON,115,142,99,4.9,6.1,4.2,,,Euro 6,80,3300,No,2025,142,1.61,,1235
2019,Peugeot,,308,GT Line,1.2,3cyl,Turbo,6,Auto,4,5,Sedan,2,Petrol 95RON,115,142,99,5.1,6.4,4.4,,,Euro 6,74,3750,No,2020,148,1.61,,1285
2016,Audi,,A3 Sedan,1.4 TFSI S-Tronic 17 Inch Wheel,1.4,4cyl,Turbo,7,Auto,4,5,Sedan,2,Petrol 95RON,115,142,100,4.9,6,4.2,,,Euro 6,74,3750,Yes,0,142,1.61,,1235
2013,Fiat,,500,1.2 8V Dualogic,1.2,4cyl,Normal,5,Auto,2,4,Sedan,2,Petrol 95RON,115,143,99,5,6.2,4.3,,,Euro 5,86,4125,No,2016,145,1.61,,1260
2016,Fiat,Series 4,500,1.2 8V Manual,1.2,4cyl,Normal,5,Manual,2,4,Sedan,2,Petrol 95RON,115,144,98,4.9,6.2,4.2,,,Euro 6,82,4125,Yes,0,142,1.61,,1235
2016,Fiat,Series 4,500C,1.2 8V Manual,1.2,4cyl,Normal,5,Manual,2,4,Convertible,2,Petrol 95RON,115,144,98,4.9,6.2,4.2,,,Euro 6,82,4125,Yes,0,142,1.61,,1235
2011,Smart,,fortwo,Coupe 62kW,1,3cyl,Turbo,5,Auto,2,2,Coupe,2,Petrol 95RON,115,146,95,4.9,6.3,4.1,,,Euro 5,84,3938,No,2016,142,1.61,,1235
2011,Smart,,fortwo,Cabrio 62kW,1,3cyl,Turbo,5,Auto,2,2,Convertible,2,Petrol 95RON,115,146,95,4.9,6.3,4.1,,,Euro 5,84,3938,No,2016,142,1.61,,1235
2008,Smart,,fortwo,Cabrio 52kW,1,3cyl,Normal,5,Auto,2,2,Convertible,2,Petrol 95RON,116,,,4.9,,,,,Euro 4,83,3325,No,2008,142,1.62,,1235
2008,Smart,,fortwo,Cabrio 62kW,1,3cyl,Turbo,5,Auto,2,2,Convertible,2,Petrol 95RON,116,,,4.9,,,,,Euro 4,84,3938,No,2009,142,1.62,,1235
2008,Smart,,fortwo,Coupe 62kW,1,3cyl,Turbo,5,Auto,2,2,Coupe,2,Petrol 95RON,116,,,4.9,,,,,Euro 4,84,3938,No,2009,142,1.62,,1235
2021,Audi,,Q2,35 TFSI S-tronic 17 inch,1.5,4cyl,Turbo,7,Auto,4,5,SUV,2,Petrol 95RON,116,136,105,5.1,5.9,4.6,,,Euro 6,79,3750,Yes,0,148,1.62,,1285
2013,Audi,90kW,A3 Sportback,1.4T FSI Attraction S-Tronic,1.4,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,116,142,100,5,6.1,4.3,,,Euro 5,73,3750,No,2014,145,1.62,,1260
2020,Volkswagen,MY21,Polo,85TSI Comfortline,1,3cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,116,142,101,5.1,6.2,4.4,,,Euro 6,71,3750,No,2022,148,1.62,,1285
2019,Volkswagen,MY20,Polo,85TSI Comfortline,1,3cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,116,142,101,5.1,6.2,4.4,,,Euro 6,71,3750,No,2020,148,1.62,,1285
2018,Volkswagen,MY18,Polo,85TSI Comfortline,1,3cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,116,142,101,5.1,6.2,4.4,,,Euro 6,71,3750,No,2019,148,1.62,,1285
2018,Volkswagen,MY18,Polo,beats,1,3cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,116,142,101,5.1,6.2,4.4,,,Euro 6,71,3750,No,2019,148,1.62,,1285
2018,Volkswagen,MY18,Polo,Launch Edition,1,3cyl,Turbo,6,Manual,4,5,Hatch,2,Petrol 95RON,116,142,101,5.1,6.2,4.4,,,Euro 6,71,3750,No,2019,148,1.62,,1285
2014,MINI,F55,Cooper,Station Wagon,1.5,3cyl,Turbo,6,Auto,4,5,Wagon,2,Petrol 95RON,116,143,100,5,6.2,4.3,,,Euro 6,80,3300,No,2025,145,1.62,,1260
2022,Skoda,MY22,Kamiq,85TSI,1,3cyl,Turbo,5,Manual,4,5,SUV,2,Petrol 95RON,116,145,98,5.1,6.4,4.3,,,Euro 6,72,3750,No,2023,148,1.62,,1285
2020,Skoda,MY21,Kamiq,85TSI,1,3cyl,Turbo,5,Manual,4,5,SUV,2,Petrol 95RON,116,145,98,5.1,6.4,4.3,,,Euro 6,72,3750,No,2022,148,1.62,,1285
2020,Skoda,MY20,Kamiq,85TSI,1,3cyl,Turbo,5,Manual,4,5,SUV,2,Petrol 95RON,116,145,98,5.1,6.4,4.3,,,Euro 6,72,3750,No,2020,148,1.62,,1285
2009,Smart,,fortwo,Coupe 62kW,1,3cyl,Turbo,5,Auto,2,2,Coupe,2,Petrol 95RON,116,157,99,4.9,6.4,4.1,,,Euro 4,84,3938,No,2010,142,1.62,,1235
2009,Smart,,fortwo,Cabrio 62kW,1,3cyl,Turbo,5,Auto,2,2,Convertible,2,Petrol 95RON,116,157,99,4.9,6.4,4.1,,,Euro 4,84,3938,No,2010,142,1.62,,1235
2014,MINI,F56,One,Hardtop,1.2,3cyl,Turbo,6,Auto,2,4,Hatch,2,Petrol 95RON,117,140,104,5,6,4.5,,,Euro 6,81,3000,No,2025,145,1.64,,1260
2026,Skoda,MY26,Octavia,Select Hybrid (mHEV),1.5,4cyl,Turbo,7,Auto,4,5,Sedan,2,Petrol 95RON,117,142,102,5.1,6.3,4.5,,,Euro 6,79,3750,Yes,0,148,1.64,,1285
2014,MINI,F55,One,Station Wagon,1.2,3cyl,Turbo,6,Manual,4,5,Wagon,2,Petrol 95RON,117,143,102,5,6.2,4.4,,,Euro 6,79,3000,No,2025,145,1.64,,1260
2016,Audi,,A3 Sedan,1.4 TFSI S-Tronic 18 Inch Wheel,1.4,4cyl,Turbo,7,Auto,4,5,Sedan,2,Petrol 95RON,117,143,102,5.1,6.2,4.4,,,Euro 6,74,3750,Yes,0,148,1.64,,1285
2024,Audi,,A1 Sportback,35 TFSI S-Tronic 16 inch,1.5,4cyl,Turbo,7,Other,4,5,Hatch,2,Petrol 95RON,117,143,102,5.2,6.3,4.5,,,Euro 6,74,3750,Yes,0,151,1.64,,1310
2016,Audi,,A3 Sportback,1.4 TFSI S-Tronic 17 Inch Wheel,1.4,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 95RON,117,143,103,5,6.1,4.4,,,Euro 6,74,3750,Yes,0,145,1.64,,1260
2016,Audi,,A3 Sedan,1.4 TFSI S-Tronic 19 Inch Wheel,1.4,4cyl,Turbo,7,Auto,4,5,Sedan,2,Petrol 95RON,117,143,103,5.1,6.2,4.4,,,Euro 6,74,3750,Yes,0,148,1.64,,1285
2024,Audi,,A1 Sportback,35 TFSI S-Tronic 17 inch,1.5,4cyl,Turbo,7,Other,4,5,Hatch,2,Petrol 95RON,117,143,103,5.2,6.3,4.5,,,Euro 6,74,3750,Yes,0,151,1.64,,1310
2015,Citroen,,C4,Exclusive 96kW Petrol Auto,1.2,4cyl,Normal,4,Auto,4,5,Sedan,2,Petrol 95RON,117,144,102,5.1,6.2,4.4,,,Euro 6,76,3750,No,2015,148,1.64,,1285
2015,Citroen,,C4,Exclusive 96kW Petrol Auto,1.2,3cyl,Normal,6,Auto,4,5,Sedan,2,Petrol 95RON,117,144,102,5.1,6.2,4.4,,,Euro 6,76,3750,No,2019,148,1.64,,1285
2022,Audi,,A1 Sportback,35 TFSI S-tronic 17 Inch Wheel,1.4,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 98RON,121,152,102,5.3,6.7,4.5,,,Euro 6,71,3750,Yes,0,154,1.69,,1395
2022,Audi,,A1 Sportback,35 TFSI S-tronic 18 Inch Wheel,1.4,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 98RON,123,155,105,5.4,6.8,4.6,,,Euro 6,71,3750,Yes,0,157,1.72,,1421
2016,Volkswagen,MY17,Polo,GTI,1.8,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 98RON,132,168,111,5.7,7.3,4.8,,,Euro 5,79,3750,No,2018,165,1.85,,1500
2015,Volkswagen,,Polo,GTI,1.8,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 98RON,132,168,111,5.7,7.3,4.8,,,Euro 5,79,3750,No,2017,165,1.85,,1500
2015,Volkswagen,,Polo,GTI,1.8,4cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 98RON,132,168,111,5.7,7.3,4.8,,,Euro 5,79,3750,No,2015,165,1.85,,1500
2019,BMW,F40,1 Series,118i,1.5,3cyl,Turbo,7,Auto,4,5,Hatch,2,Petrol 98RON,135,160,121,5.9,7,5.3,,,Euro 6,82,3450,No,2025,171,1.89,,1553
2018,MINI,F56,John Cooper Works,Hardtop,2,4cyl,Turbo,8,Auto,2,4,Hatch,2,Petrol 98RON,137,163,122,6,7.1,5.3,,,Euro 6,90,3750,No,2025,174,1.92,,1579
2015,Jeep,BU,Renegade,Sport 1.4,1.4,4cyl,Turbo,6,Auto,4,5,SUV,2,Petrol 98RON,137,171,117,5.9,7.4,5,,,Euro 6,77,3750,No,2022,171,1.92,,1553
2015,Jeep,BU,Renegade,Longitude,1.4,4cyl,Turbo,6,Auto,4,5,SUV,2,Petrol 98RON,137,171,117,5.9,7.4,5,,,Euro 6,77,3750,No,2022,171,1.92,,1553
2015,Jeep,BU,Renegade,Limited,1.4,4cyl,Turbo,6,Auto,4,5,SUV,2,Petrol 98RON,137,171,117,5.9,7.4,5,,,Euro 6,77,3750,No,2022,171,1.92,,1553
2022,Volkswagen,MY23,Polo,GTI,2,4cyl,Turbo,6,Auto,4,5,Hatch,2,Petrol 98RON,140,181,116,6.1,7.9,5.1,,,Euro 6,83,3750,No,2023,177,1.96,,1606
2022,Volkswagen,MY22,Polo,GTI,2,4cyl,Turbo,6,Auto,4,5,Hatch,2,Petrol 98RON,140,181,116,6.1,7.9,5.1,,,Euro 6,83,3750,No,2022,177,1.96,,1606
2020,Volkswagen,MY21,Polo,GTI,2,4cyl,Turbo,6,Auto,4,5,Hatch,2,Petrol 98RON,140,181,116,6.1,7.9,5.1,,,Euro 6,83,3750,No,2022,177,1.96,,1606
2019,Volkswagen,MY20,Polo,GTI,2,4cyl,Turbo,6,Auto,4,5,Hatch,2,Petrol 98RON,140,181,116,6.1,7.9,5.1,,,Euro 6,83,3750,No,2020,177,1.96,,1606
2018,Volkswagen,MY19,Polo,GTI,2,4cyl,Turbo,6,Auto,4,5,Hatch,2,Petrol 98RON,140,181,116,6.1,7.9,5.1,,,Euro 6,83,3750,No,2019,177,1.96,,1606
2018,Volkswagen,MY18,Polo,GTI,2,4cyl,Turbo,6,Auto,4,5,Hatch,2,Petrol 98RON,140,181,116,6.1,7.9,5.1,,,Euro 6,83,3750,No,2019,177,1.96,,1606
2015,Jeep,BU,Renegade,Sport 1.6,1.6,4cyl,Normal,5,Manual,4,5,SUV,2,Petrol 98RON,141,181,117,6,7.8,5,,,Euro 6,80,3750,No,2022,174,1.97,,1579
